observation_date,FPCPITOTLZGJPN
2000-01-01,-0.67657868359508
2001-01-01,-0.740055504162812
2002-01-01,-0.923494026942286
2003-01-01,-0.25654181631606
2004-01-01,-0.00857338820306043
2005-01-01,-0.282946068764429
2006-01-01,0.249355116079105
2007-01-01,0.0600394544986545
2008-01-01,1.38007886164926
2009-01-01,-1.35283672951723
2010-01-01,-0.728243207517766
2011-01-01,-0.272455616101245
2012-01-01,-0.0440645104432608
2013-01-01,0.335037912184772
2014-01-01,2.75922671353253
2015-01-01,0.795279630579784
2016-01-01,-0.127258844489712
2017-01-01,0.484199796126422
2018-01-01,0.989094598021811
2019-01-01,0.468776159383928
2020-01-01,-0.024995834027682
2021-01-01,-0.23335277939831
2022-01-01,2.49770278172251
2023-01-01,3.26813365933164
2024-01-01,2.73853681635243
