date,cpi_index,inflation_yoy_pct
2000-01-01,3.37685727149929,-17.188041552352097
2001-01-01,2.82617111885407,-41.45081117130138
2002-01-01,1.58603162650601,-70.61792468754274
2003-01-01,2.27009497336115,-46.39635679618974
2004-01-01,2.67723669309172,-11.607920656166382
2005-01-01,3.3927468454955,14.943805602520289
2006-01-01,3.22594410070404,23.72066589757975
2007-01-01,2.85267248150138,1.6843395360003566
2008-01-01,3.839100296651,30.973485120446576
2009-01-01,-0.355546266299747,-115.20929960066817
2010-01-01,1.6400434423899,5.653902298709901
2011-01-01,3.156841568622,44.27798580330526
2012-01-01,2.06933726526067,-38.72002578474674
2013-01-01,1.46483265562717,-48.16900343171305
2014-01-01,1.62222297740817,2.2818807832911014
2015-01-01,0.118627135552451,-94.77435363081707
2016-01-01,1.26158320570536,-52.877412409566915
2017-01-01,2.13011000365961,-37.21576938498298
2018-01-01,2.44258329692817,-24.28314872551285
2019-01-01,1.81221007526021,-36.47325141558375
2020-01-01,1.23358439630629,-67.86787786236283
2021-01-01,4.69785886363742,-1421.3073259154523
2022-01-01,8.00279982052121,387.96267304111103
2023-01-01,4.11633838374488,30.394202378097557
2024-01-01,2.94952520485207,42.53477450813339
